feature,importance
ck_000,4.306661075999728
cn_002,2.643036989924228
aa_000,2.5083572308462996
ci_000,2.1404911246936376
ay_006,1.7952527035772676
ai_000,1.7913217676676645
ay_008,1.613709278814391
ee_007,1.521640359195044
bx_000,1.5135548635676588
cs_007,1.4993130655805593
bt_000,1.448833197714394
ay_005,1.4424461969972804
aq_000,1.438485732983723
az_001,1.433003032887715
az_003,1.4327462487830656
cb_000,1.4266061251937758
cn_000,1.412215976998799
az_000,1.3955467349942503
ag_002,1.3224283564605548
bc_000,1.285727505727922
am_0,1.1508488061808677
cs_000,1.1291596884680968
bh_000,1.1220715969270285
ap_000,1.1150613874724193
bv_000,1.111994682789047
be_000,1.0816240061435018
ag_006,1.074855862122433
bq_000,1.042814134505283
ee_000,1.0374378081160784
ba_004,0.993657467523321
cs_008,0.9534338397770198
ee_005,0.9463456106707029
ee_008,0.9194407795385474
de_000,0.917075846575
co_000,0.8801711431021991
dy_000,0.8797984539340857
cn_007,0.8717561989821563
ba_003,0.8408129799900629
bs_000,0.8386248216559019
ac_000,0.8309702312615083
cl_000,0.8199903085220003
ag_007,0.7931442762782237
dq_000,0.7894801678597942
az_002,0.7843043895295149
bi_000,0.775293816217898
bj_000,0.7726279151958001
dp_000,0.7687708902650562
cc_000,0.7649172239663112
ba_005,0.7583660388321106
ba_008,0.7295779402640837
ee_009,0.7088035401453598
ao_000,0.6950934925134536
dx_000,0.6769378143881578
ba_000,0.6665911270719926
bd_000,0.659544597388243
al_000,0.6548578084027898
cs_004,0.6493679594185804
ag_004,0.6434265577726824
cn_001,0.6365673591172264
ag_008,0.6086406028316024
cs_003,0.6074958028040254
cg_000,0.6030295230841957
ay_002,0.5946816557647664
ag_009,0.575352553109955
cx_000,0.5746560058079127
dd_000,0.5738296640189554
ag_001,0.5701064227224472
ba_007,0.5693510867725852
cn_004,0.561947092591025
br_000,0.5412408348464629
db_000,0.5411628969814264
cj_000,0.5336540319321414
ay_009,0.5237186049868464
ee_001,0.5163518714425429
cn_008,0.5141801949275534
bk_000,0.4996971565842365
ay_007,0.499487527972622
ay_000,0.4960535317805489
dn_000,0.491566489589669
bb_000,0.4835775312415187
cs_001,0.4817173238651386
az_006,0.4679951536873184
ba_001,0.4429337877610416
ec_00,0.4387345751714769
az_004,0.42641290688983857
ba_006,0.40905661210483085
bz_000,0.4018904466843257
cv_000,0.40142469729462993
av_000,0.40119891191034796
cp_000,0.39910283490242315
ah_000,0.38978174315725583
az_007,0.388203089652839
ee_002,0.3873074820804975
ay_001,0.38668473954235305
ba_002,0.3751573921866417
bm_000,0.36890396777347256
eb_000,0.3655132388316799
cn_003,0.3641252340163532
ed_000,0.3599825418231822
aj_000,0.35996961164893787
df_000,0.3478092949809287
cs_005,0.34242583654559494
an_000,0.33477680002872334
dv_000,0.3314663978553847
ee_006,0.3282061607453659
ca_000,0.32622940524471716
ab_000,0.314653946242782
di_000,0.3120249227099205
dt_000,0.31061809954440023
az_005,0.3003790789579328
bo_000,0.29922397775821996
ag_005,0.2844206688357449
cu_000,0.28372287260267237
dr_000,0.28299069553225387
by_000,0.28233699303678456
cs_002,0.2810299867301034
bf_000,0.27608472889919733
dc_000,0.26392397322151884
cm_000,0.2602730058156194
cn_006,0.25646144726061804
du_000,0.25306540127005145
do_000,0.2526161156731847
ag_003,0.246763372151144
cn_005,0.242624313265519
ax_000,0.22497939243750908
ee_003,0.22304480119675485
ee_004,0.21744221086765217
bl_000,0.21595880409202492
ba_009,0.20708542150011014
ce_000,0.18122656368417098
ds_000,0.17922480583275896
ag_000,0.17356153214618328
ar_000,0.16659217075158128
at_000,0.16467382423970237
bn_000,0.15893785531929572
bp_000,0.15569298931285777
cs_006,0.15330183593461438
az_008,0.14649136824393416
ct_000,0.14337981153407287
dg_000,0.14182231512305876
au_000,0.1333969252407124
cd_000,0.12955740133009636
bg_000,0.1277665847066733
ch_000,0.12646593657468996
ay_003,0.12311274209184982
cs_009,0.12139343300166645
cn_009,0.1145017684255069
dm_000,0.11333771166828546
cz_000,0.11200173746067393
ad_000,0.10380018171639686
bu_000,0.09921830548917564
ay_004,0.09037060260341329
cy_000,0.07575669015735736
cf_000,0.0663082866698983
af_000,0.059476262018125836
da_000,0.04806575259917159
cq_000,0.044769131015970215
as_000,0.023695320714424414
dh_000,0.022459131679223063
dz_000,0.01821949508628432
ak_000,0.012441640659255442
cr_000,0.0034712822250904814
eg_000,0.0032285005519915506
ae_000,0.0031715386381492897
dj_000,0.002573105054930626
az_009,0.0010154288718965225
dl_000,8.396354264663145e-06
dk_000,0.0
ea_000,0.0
ef_000,0.0
