threshold,precision_pos,recall_pos,f1_pos,cost
0.15,0.3796477495107632,0.97,0.5457102672292545,6170
0.25,0.43908045977011495,0.955,0.6015748031496063,6940
0.1,0.32825719120135366,0.97,0.49051833122629585,6970
0.2,0.4152173913043478,0.955,0.5787878787878787,7190
0.35,0.48214285714285715,0.945,0.6385135135135135,7530
0.3,0.45215311004784686,0.945,0.6116504854368932,7790
0.4,0.5068493150684932,0.925,0.6548672566371682,9300
0.5,0.5449101796407185,0.91,0.6816479400749064,10520
0.45,0.5306122448979592,0.91,0.6703499079189686,10610
0.6,0.5825242718446602,0.9,0.7072691552062869,11290
0.55,0.5625,0.9,0.6923076923076923,11400
0.65,0.5953177257525084,0.89,0.7134268537074149,12210
0.7,0.6183745583038869,0.875,0.7246376811594203,13580
0.75,0.6515151515151515,0.86,0.7413793103448276,14920
0.8,0.7,0.84,0.7636363636363637,16720
0.85,0.7407407407407407,0.8,0.7692307692307693,20560
0.9,0.7715736040609137,0.76,0.7657430730478589,24450
